Strain,Clade,preserve
Wuhan/WH01/2019,19A,1
Australia/NSW02/2020,19A,0
Wuhan/IME-WH03/2019,19A,0
Malaysia/MKAK-CL-2020-5049/2020,19A,0
Malaysia/MKAK-CL-2020-5045/2020,19A,0
Malaysia/IMR_WC085/2020,19A,0
Australia/VIC01/2020,19A,0
HongKong/VM20002582-2/2020,19A,0
HongKong/HKPU38-3001/2020,19A,0
HongKong/HKU-200723-002/2020,19A,0
Australia/VIC02/2020,19A,0
Australia/VIC03/2020,19A,0
Singapore/8/2020,19A,0
Georgia/Tb-537/2020,19A,0
Georgia/Tb-54/2020,19A,0
NewZealand/20VR1597/2020,19A,0
Moldova/ChVir7770/2020,19A,0
NewZealand/CoV002/2020,19A,0
NewZealand/20VR1910/2020,19A,0
SouthKorea/KCDC2197/2020,19A,0
Aruba/AW-RIVM-10101/2020,19A,0
NewZealand/20VR2585/2020,19A,0
Ireland/D-NVRL-20G42748/2020,19A,0
Nigeria/OY045A-CV35/2020,19A,0
Greece/144/2020,19A,0
Israel/51137844/2020,19A,0
Brazil/SP-02/2020,19A,0
Timor-Leste/TL25/2020,19A,0
NewZealand/20VR1900/2020,19A,0
SouthKorea/KCDC2115/2020,19A,0
SouthKorea/KCDC2123/2020,19A,0
SouthKorea/KCDC2117/2020,19A,0
USA/OR-PROV-222/2020,19A,0
Australia/ACT0017/2020,19A,0
NewZealand/20VR2108/2020,19A,0
NewZealand/20VR2109/2020,19A,0
Australia/VIC15/2020,19A,0
Australia/SAP097/2020,19A,0
Singapore/3Clin/2020,19A,0
Indonesia/JK-EIJK-43/2020,19A,0
Australia/WA34/2020,19A,0
Iraq/BAS-2/2020,19A,0
SriLanka/CDR142/2020,19A,0
Iran/PN2179/2020,19A,0
Iran/7650/2020,19A,0
Taiwan/CGMH-CGU-04/2020,19A,0
Taiwan/CGMH-CGU-05/2020,19A,0
Tunisia/7899/2020,19A,0
England/20100004404/2020,19A,0
USA/NY1-PV08001/2020,19A,0
Iran/Tehran-09/2020,19A,0
Australia/QLD09/2020,19A,0
Iran/Cento-37431805/2020,19A,0
Iran/2024/2020,19A,0
UnitedArabEmirates/L4682/2020,19A,0
Bahrein/BAH-13/2020,19A,0
Bahrein/BAH-19/2020,19A,0
Bahrein/BAH-16/2020,19A,0
Bahrein/BAH-17/2020,19A,0
India/UN-1652/2020,19A,0
India/UN-1073/2020,19A,0
Georgia/Tb-82/2020,19A,0
Oman/RESP-20-837/2020,19A,0
SriLanka/CDR503/2020,19A,0
Kuwait/KU18/2020,19A,0
UnitedArabEmirates/L46302981/2020,19A,0
Bahrein/BAH-03/2020,19A,0
Kazakhstan/26548/2020,19A,0
Australia/NSW06/2020,19A,0
Oman/RESP-20-797/2020,19A,0
Philippines/PH-RITM-0020/2020,19A,0
Taiwan/CGMH-CGU-27/2020,19A,0
Brunei/2/2020,19A,0
Pakistan/KP-RMI-01/2020,19A,0
NewZealand/20CV0306/2020,19A,0
Guam/GU_NHG_01/2020,19A,0
Malaysia/7970/2020,19A,0
Singapore/1518/2020,19A,0
Singapore/985/2020,19A,0
Pakistan/JRCGR-KHI46/2020,19A,0
Singapore/798/2020,19A,0
Singapore/689/2020,19A,0
Singapore/662/2020,19A,0
Singapore/858/2020,19A,0
Singapore/505/2020,19A,0
Myanmar/MMC_137/2020,19A,0
Malaysia/MGI-MAEPS41/2020,19A,0
Malaysia/IMR_WC80036/2020,19A,0
Malaysia/MGI-MAEPS67/2020,19A,0
India/MH-CCMB-NIV1/2020,19A,0
Singapore/705/2020,19A,0
Zambia/ZMB-245/2020,19A,0
Singapore/899/2020,19A,0
Zambia/ZMB-67/2020,19A,0
HongKong/HKU-200723-105/2020,19A,0
Zambia/ZMB-111/2020,19A,0
Taiwan/TSGH-11/2020,19A,0
India/BR-NCDC-02251/2020,19A,0
India/WB-NCDC-02248/2020,19A,0
India/DL-NCDC2022-CSIR-IGIB/2020,19A,0
Australia/QLD1340/2020,19A,0
PapuaNewGuinea/5/2020,19A,0
PapuaNewGuinea/4/2020,19A,0
